key,XYZ label,Instructional Text,Info Bubble,Placeholder,Values,Section,Field Type
title,Title of Case,"Give this public participation project or event a descriptive title in 10 words or less. For example, “Brazilian Dialogue on Diversity"" or ""New York City Public Issues Forum.""",N/A,Enter title in 10 words or less,No default value,"1. Overview
Quick Submit",Plain text
general_issues,General Issues,"Rank order up to three of the most relevant issues addressed, with “1” indicating the most relevant issue. You will be asked to provide more detailed information in the Specific Topics field below.",N/A,Select & rank up to 3 issues,"Agriculture, Forestry, Fishing & Mining Industries
Arts, Culture, & Recreation
Business
Economics
Education
Energy
Environment
Governance & Political Institutions (e.g. constitutions, legal systems, electoral systems)
Health
Housing
Human Rights & Civil Rights
Identity & Diversity
Immigration & Migration
International Affairs
Labor & Work
Law Enforcement, Criminal Justice & Corrections
Media, Telecommunications & Information
National Security
Planning & Development
Science & Technology
Social Welfare
Transportation","1. Overview
Quick Submit",Multi-select ; type to search + drop down list ; rank order up to three﻿
specific_topics,Specific Topics,"Rank order up to three of the most relevant, specific topics, with “1” indicating the most relevant topic.",N/A,Select & rank up to 3 topics,"Ability/Disability Issues
Abortion
Access to Radio & Television Frequencies
Addiction Treatment & Management
Administration of Campaigns and Elections
Affordable Housing
Age Discrimination
Aging
Aging Issues
Agricultural Biotechnology
Air Quality
Air Travel
Alternative & Renewable Energy
Alternative Education
Animal Welfare
Arms Control
Artificial Intelligence
Bankruptcy
Biomedical Research & Development
Birth Control
Budget - Local
Budget - National
Budget - Provincial, Regional, State
Bureaucracy
Carbon Capture & Sequestration
Censorship
Child Care
Citizenship & Role of Citizens
Civil Law
Climate Change
Coal
Cohousing
Community & Police Relations
Community Resettlement
Concentration of Media Ownership
Constitutional Reform
Consumer Protection
Copyrights & Patents
Corporate Subsidies
Court Systems
Criminal Law
Cultural Assimilation or Integration
Curriculum & Standards
Cyber Security
Cycling
Diplomacy
Disability Rights
Disabled Assistance
Disaster Preparedness
Disease Prevention
Drug Coverage & Cost
Drug Testing & Regulation
Early Childhood Education
Eco-Housing
Economic Development
Economic Inequality
Elderly Assistance
Elderly Housing
Electricity
Elementary & Secondary Education
Employee Benefits
Energy Conservation
Energy Efficiency & Storage
Energy Siting & Transmission
Environmental Conservation
Ethnic/Racial Equality & Equity
Ethnic/Racial Relations
Fair Labor Standards
Financing of Political Campaigns
Fisheries & Fishing
Food & Nutrition
Food Assistance
Food Inspection & Safety
Foreign Aid
Freedom of Information
Freedom of Speech
Funding
Gender Equality & Equity
Gender Identity
Geopolitics
Geotechnology
Government Corruption
Government Funding of Education
Government Spending
Government Subsidies
Government Transparency
Hazardous Waste
Health Care Reform
Health Insurance
Higher Education
Highway Safety
Homelessness
Housing Planning
Human Rights
Human Trafficking
Identity Politics
Immigration
Indigenous Issues
Indigenous Planning
Industrial Policy
Industrial Siting Guidelines
Information & Communications Technology
Infrastructure
Intellectual Property Rights
Intelligence Gathering
Intergovernmental Relations
International Law
Internet Access
Internet Governance
Jails and Prisons
Judicial Reform
Labor Unions
Land Use
LGBTQ Issues
Libraries
Long-Term Care
Low-income Assistance
Maritime
Mass/Public Transport
Medical Liability
Mental Health
Migrant and Seasonal Labor
Military and Defense
Monetary Policy
Museums
Nanotechnology
Natural Gas & Oil
Natural Resource Management
Nuclear Energy
Open Data
Pensions & Retirement
Police
Political Parties
Political Rights
Poverty
Public Amenities
Public Art
Public Participation
Public Safety
Quality of Health Care
Railroads
Recycling
Refugee Resettlement
Refugee Rights
Regional & Global Governance
Regionalism
Regulation
Regulatory Policy
Religious Rights
Research & Development
Resilience Planning & Design
Right to Adequate Housing
Right to Representation
Roads and Highways
Rural Housing
School Governance
Self-Driving Vehicles
Sentencing Guidelines
Social Determinants of Health
Space Exploration
Special Education
Species Protection
Sports
Substance Abuse
Sustainable Development
Taxation
Teacher Training & Accountability
Telephone Access
Terrorism
Torture
Tourism
Trade and Tariffs
Transparency
Transportation Planning
Treaties
Unemployment
Unofficial (Track II) Diplomacy
Vocational Education & Training
Wage Standards
Walking/Pedestrian Mobility
Waste Disposal
Water Quality
Weather Forecasting
Wilderness Protection
Worker Health & Safety
Workforce Education
Youth Employment
Youth Issues","1. Overview
Quick Submit",Multi-select ; type to search + drop down list ; rank order up to three﻿
brief_description,Brief Description,Enter tweet-length (280 characters or less) description of this case.,N/A,Enter tweet-length description,No default value,"1. Overview
Quick Submit",Plain text (280 character limit)
body,Narrative,The following standard structure makes it easier to compare and analyze entries. Please use the headings below and refer to our guidelines as you prepare your case entry.,N/A,"Problems and Purpose
Background History and Context
Organizing, Supporting, and Funding Entities
Participant Recruitment and Selection
Methods and Tools Used
Deliberation, Decisions, and Public Interaction
Influence, Outcomes, and Effects
Analysis and Lessons Learned
See Also
References
External Links
Notes",Same as placeholder + user entered text,1. Overview,Rich text
tags,Tags,Select the tags that best describe this case. ,N/A,Enter one or more tags,"Accessibility
Activism
Agenda Formation
Animal Protection & Welfare
Architecture & Design
Capacity Building
Civic Infrastructure
Civic Roles & Powers
Civil Infrastructure
Conflict Resolution
Decision-Making
Democratic Innovation
Dialogue & Deliberation
Digital/New Technologies
Direct Action
Educational Resources & Opportunities 
Empowerment
Environment
Formal/Structured Participation
Gender
Global Affairs
Human Rights
Inclusiveness 
Indigenous Issues
Informal Participation
Internal- & Self-Management
Initiative Process
Mapping & Analysis
Online
Oversight & Monitoring
Participatory Budgeting
Planning & Development
Political Institutions
Public Opinion
Public Services
Race
Research/Study
Rural
Science Communication
Social Media
Social Welfare
Stakeholder Engagement
Storytelling
Sustainability & Green Living
Transparency & Accountability
Urban
Youth & Student Engagement",1. Overview,
location,Primary Location,"Type to select an address, city or country where the primary case activities occurred. List any additional locations in the case narrative under ""Originating Entities and Funding"". You may also want to create separate case components for the locations of other case activities.",N/A,Type to search for a known location,No default value,"2. Location
Quick Submit","Auto-complete (address, city, country - any location)"
scope_of_influence,Scope of Influence,What is the geographical or jurisdictional scope of this case?,N/A,Select geographical or jurisdictional scope,"Organization (e.g. a local business or cooperative using participatory methods to manage and govern itself)
Neighbourhood
City/Town
Metropolitan Area
Regional (e.g. State, Province, Autonomous Region)
National 
Multinational
No Geographical Limits (e.g. online environment where anyone from any place can take part)",2. Location,Single-select ; drop down list
has_components,Add Components to this Case,"A case can have multiple components, but they must already be published cases on Participedia. Type to search for an existing case in Participedia to label it as a component of this case. Select one or more.","If you cannot find the case you are looking for, first publish this entry to save your work. Next use quick submit to publish the component case entry. Then return to this case entry and add your new case entry as a component.",Search for existing case/component,All cases in Participedia,3. Components,Type to search + drop down list of all cases (selected case title appears below the field and can be removed with an “x”)
is_component_of,Make This Case a Component of Another Case,"A case can only be a component of one other case, and the other case must already be published on Participedia. Type to search for an existing case in Participedia to label this case as a component of it. Select one. ","If you cannot find the case you are looking for, first publish this entry to save your work. Next use quick submit to publish the ‘parent’ case entry. Then return to this case entry and label this case as a component of the new ‘parent’ case.",Search for existing case/parent,All cases in Participedia,3. Components,Type to search + drop down list of all cases (selected case title appears below the field and can be removed with an “x”)
file_upload,Files,"Upload relevant documents here. Supported file types include: rtf, txt, doc, docx, xls, xlsx, pdf, ppt, pptx, pps, ppsx, odt, ods and odp. Max file size is 5MB.",N/A,Click to select or drag and drop files here,No default value,"4. Media
Quick Submit",Upload area (from device)
