dbname,Editing Label,View Label,View Values
first_submitted_label,First submitted by,First submitted by,
most_recent_label,Most recent changes by,Most recent changes by,
title_label,Title of Case,NONE,
general_issues_label,General Issues,General Issues,"Agriculture, Forestry, Fishing & Mining Industries
Arts, Culture, & Recreation
Business
Economics
Education
Energy
Environment
Governance & Political Institutions
Health
Housing
Human Rights & Civil Rights
Identity & Diversity
Immigration & Migration
International Affairs
Labor & Work
Law Enforcement, Criminal Justice & Corrections
Media, Telecommunications & Information
National Security
Planning & Development
Science & Technology
Social Welfare
Transportation"
specific_topics_label,Specific Topics,Specific Topics,"Ability/Disability Issues
Abortion
Access to Radio & Television Frequencies
Addiction Treatment & Management
Administration of Campaigns and Elections
Affordable Housing
Age Discrimination
Aging
Aging Issues
Agricultural Biotechnology
Air Quality
Air Travel
Alternative & Renewable Energy
Alternative Education
Animal Welfare
Arms Control
Artificial Intelligence
Bankruptcy
Biomedical Research & Development
Birth Control
Budget - Local
Budget - National
Budget - Provincial, Regional, State
Bureaucracy
Carbon Capture & Sequestration
Censorship
Child Care
Citizenship & Role of Citizens
Civil Law
Climate Change
Coal
Cohousing
Community & Police Relations
Community Resettlement
Concentration of Media Ownership
Constitutional Reform
Consumer Protection
Copyrights & Patents
Corporate Subsidies
Court Systems
Criminal Law
Cultural Assimilation or Integration
Curriculum & Standards
Cyber Security
Cycling
Diplomacy
Disability Rights
Disabled Assistance
Disaster Preparedness
Disease Prevention
Drug Coverage & Cost
Drug Testing & Regulation
Early Childhood Education
Eco-Housing
Economic Development
Economic Inequality
Elderly Assistance
Elderly Housing
Electricity
Elementary & Secondary Education
Employee Benefits
Energy Conservation
Energy Efficiency & Storage
Energy Siting & Transmission
Environmental Conservation
Ethnic/Racial Equality & Equity
Ethnic/Racial Relations
Fair Labor Standards
Financing of Political Campaigns
Fisheries & Fishing
Food & Nutrition
Food Assistance
Food Inspection & Safety
Foreign Aid
Freedom of Information
Freedom of Speech
Funding
Gender Equality & Equity
Gender Identity
Geopolitics
Geotechnology
Government Corruption
Government Funding of Education
Government Spending
Government Subsidies
Government Transparency
Hazardous Waste
Health Care Reform
Health Insurance
Higher Education
Highway Safety
Homelessness
Housing Planning
Human Rights
Human Trafficking
Identity Politics
Immigration
Indigenous Issues
Indigenous Planning
Industrial Policy
Industrial Siting Guidelines
Information & Communications Technology
Infrastructure
Intellectual Property Rights
Intelligence Gathering
Intergovernmental Relations
International Law
Internet Access
Internet Governance
Jails and Prisons
Judicial Reform
Labor Unions
Land Use
LGBTQ Issues
Libraries
Long-Term Care
Low-income Assistance
Maritime
Mass/Public Transport
Medical Liability
Mental Health
Migrant and Seasonal Labor
Military and Defense
Monetary Policy
Museums
Nanotechnology
Natural Gas & Oil
Natural Resource Management
Nuclear Energy
Open Data
Pensions & Retirement
Police
Political Parties
Political Rights
Poverty
Public Amenities
Public Art
Public Participation
Public Safety
Quality of Health Care
Railroads
Recycling
Refugee Resettlement
Refugee Rights
Regional & Global Governance
Regionalism
Regulation
Regulatory Policy
Religious Rights
Research & Development
Resilience Planning & Design
Right to Adequate Housing
Right to Representation
Roads and Highways
Rural Housing
School Governance
Self-Driving Vehicles
Sentencing Guidelines
Social Determinants of Health
Space Exploration
Special Education
Species Protection
Sports
Substance Abuse
Sustainable Development
Taxation
Teacher Training & Accountability
Telephone Access
Terrorism
Torture
Tourism
Trade and Tariffs
Transparency
Transportation Planning
Treaties
Unemployment
Unofficial (Track II) Diplomacy
Vocational Education & Training
Wage Standards
Walking/Pedestrian Mobility
Waste Disposal
Water Quality
Weather Forecasting
Wilderness Protection
Worker Health & Safety
Workforce Education
Youth Employment
Youth Issues"
brief_description_label,Brief Description,NONE,
body_label,Narrative,NONE,
tags_label,Tags,Tags,"Accessibility
Activism
Agenda Formation
Animal Protection & Welfare
Architecture & Design
Capacity Building
Civic Infrastructure
Civic Roles & Powers
Civil Infrastructure
Conflict Resolution
Decision-Making
Democratic Innovation
Dialogue & Deliberation
Digital/New Technologies
Direct Action
Educational Resources & Opportunities
Empowerment
Environment
Formal/Structured Participation
Gender
Global Affairs
Human Rights
Inclusiveness
Indigenous Issues
Informal Participation
Internal- & Self-Management
Initiative Process
Mapping & Analysis
Online
Oversight & Monitoring
Participatory Budgeting
Planning & Development
Political Institutions
Public Opinion
Public Services
Race
Research/Study
Rural
Science Communication
Social Media
Social Welfare
Stakeholder Engagement
Storytelling
Sustainability & Green Living
Transparency & Accountability
Urban
Youth & Student Engagement"
location_label,Primary Location,Primary Location,
scope_label,Scope of Influence,Scope of Influence,"Organization
Neighbourhood
City/Town
Metropolitan Area
Regional
National
Multinational
No Geographical Limits"
