communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
Discussion,"Traditional Media (i.e. television, radio, newspapers)",Canada,Voting,2005-05-17T16:00:00,both,Yes,1,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,1,,No,en,Random Selection,2009-09-16T20:30:53,Yes,Electoral System Reform,UBC and SFU Graduate Students and Political Scientists,2004-01-11T16:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Lay Public,160,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2016-05-21T22:25:31,majority,Elections BC,
Discussion,Public Hearings/Meetings,United States,Opinion Survey,,facetoface,No,2,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),2,,Yes,en,Open to all with targeted recruitment,2009-09-17T09:02:03,Yes,Municipal Budgeting and Urban Planning,administrators,,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-26T19:49:29,none,,
Dialogue,Public Report,China,Voting,2005-04-30T17:00:00,facetoface,Yes,3,Budgeting,Consultation (i.e. to advise decision makers),3,1,Yes,en,Random Selection,2009-10-24T06:26:27,Yes,deliberative polling,Moderator,2005-03-01T16:00:00,Elected Public Official,General Public,Lay Public,275,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Academic Institution,2016-07-12T16:41:01,preferential,Officer Chen Yiming,318
Dialogue,Policy Recommendations,Germany,Voting,2009-06-07T17:00:00,both,Yes,4,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),4,,No,en,Random Selection,2009-11-04T11:58:33,Yes,EU Integration,Facilitators,,General Public,General Public,Lay Public,,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),"Regional Government (e.g. State, Provincial, Territorial)",2016-05-27T17:59:46,majority,German Bundestag,648
Discussion,Public Report,Canada,Getting sense of room/group (i.e. no formal voting),2009-03-31T00:00:00,facetoface,Yes,5,Science &amp; Technology,Consultation (i.e. to advise decision makers),5,8,No,en,Random Selection,2009-11-26T08:58:30,Yes,Health Care Policy and Service,professors,2007-04-01T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,50,National Government,Academic Institution,Academic Institution,2016-07-11T22:06:45,none,,
Dialogue,Policy Recommendations,United States,Voting,2007-08-11T17:00:00,both,Yes,6,Health,Raise public awareness,6,1,No,en,Open to all with targeted recruitment,2009-11-30T06:24:51,Yes,Health Care Reform,Trained Facilitators,2007-08-11T09:00:00,Elected Public Official,General Public,Lay Public,3500,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Non-Governmental Organization (Non-profit),Individual,2016-06-10T21:55:17,none,California State Legislator,199
Dialogue,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),2002-11-30T16:00:00,facetoface,No,7,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),7,41,No,en,Open to all with targeted recruitment,2009-12-08T11:55:57,Yes,Transportation Budget and Plan,,2002-08-01T17:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Community Based Organization,2016-07-11T21:37:15,none,,
Discussion,Public Report,United States,Opinion Survey,2013-11-17T00:00:00,facetoface,Yes,8,Other,Raise public awareness,8,,No,en,Open to all,2009-12-09T06:00:44,Yes,Civic Engagement and Citizenship Education,primarily public volunteers but one paid government employee is highly recommended,2007-09-06T17:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2016-07-10T21:25:10,none,,
or Deliberation,Public Report,United States,Voting,2009-03-02T17:00:00,facetoface,Yes,9,Budgeting,Consultation (i.e. to advise decision makers),9,4,No,en,Open to all,2009-12-15T11:14:26,Yes,Municipal Budget Cuts,,2009-02-12T16:00:00,Elected Public Official,General Public,Lay Public,1710,Academic Institution,Academic Institution,Government-Owned Corporation,2016-05-22T22:09:42,supermajority,WHYY,
Discussion,Public Hearings/Meetings,United States,Opinion Survey,2009-10-31T10:00:00,both,Yes,10,Budgeting,Raise public awareness,10,4,No,en,Open to all,2010-01-07T06:32:04,Yes,Participatory Budgeting,City staff,2009-09-26T08:00:00,Elected Public Official,General Public,Lay Public,1570,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2016-07-10T21:02:23,none,Peninsula Conflict Resource Center,
or Deliberation,Public Hearings/Meetings,United States,Opinion Survey,,facetoface,Yes,11,Budgeting,Raise public awareness,11,,Yes,en,Open to all,2010-01-07T07:36:21,Yes,Municipal Participatory Budgeting,retired police chief (as independent facilitator/consultant),2008-09-01T00:00:00,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),115,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Not Applicable,2016-07-10T20:52:43,none,,
