body,language,method_id,title
"<p><a id=""Participants"" name=""Participan",en,145,21st Century Town Meeting
"<p><a id=""Definition"" name=""Definition"">",en,146,Participatory Budgeting
<p>Deliberative Polling is a unique form,en,147,Deliberative Polling
"<p><a class=""external text"" href=""http:/",en,148,Citizen Councilor Network
"<a name=""Definition"" id=""Definition""></a",en,149,Forum Theatre
"<p>Collaborative governance is a young, ",en,150,Collaborative Governance
"<ul><li><a href=""#Synopsis"">Synopsis</a>",en,151,Practical Democracy
,en,152,Community Auditing
,en,153,Schools of Participation
"<p>A civic lottery, a popular term for t",en,154,Civic Lottery
"<p><a id=""Definition"" name=""Definition"">",en,155,Citizens' Jury
<p>“Choosing Healthplans All Together” (,en,156,Simulation Exercise
"<a name=""Definition"" id=""Definition""></a",en,157,Participatory consensus conferences
<p>Thorough documentation will follow. <,en,158,WE-DECIDE
"<a name=""Definition"" id=""Definition""></a",en,159,New England Town Meetings
"<p><a id=""Definition"" name=""Definition"">",en,160,Planning Cells
"<a name=""Definition"" id=""Definition""></a",en,161,Asset-Based Community Development
<p>“The public hearing is perhaps the mo,en,162,Public Hearing
"<p> </p><p><a id=""The_Imperative_Signifi",en,163,Consensus Conference
<h3>Definition</h3><p>The initiative pro,en,164,Initiative Process
<p>The Oregon Health Decisions organizat,en,165,Oregon Health Decisions
<h3>Definition</h3><p>University Student,en,166,University Student Government
"<a name=""Definition"" id=""Definition""></a",en,167,The World Cafe
"<p><a id=""Definition"" name=""Definition"">",en,168,National Issues Forum
"<a name=""Definition"" id=""Definition""></a",en,169,Parliamentary Procedure
"<p><a id=""Definition"" name=""Definition"">",en,170,Citizen Advisory Board
"<p><a id=""Definition.2FProcess"" name=""De",en,171,Communities Creating Racial Equity Initiative
"<a name=""Definition"" id=""Definition""></a",en,172,We the People: The Citizen and the Constitution
"<a href=""http://heliosvoting.org/"" class",en,173,"End to end auditable voting system ""Helios"""
<p> </p><p>Definition  </p><p>A Social F,en,174,Social Forum
"<p><a class=""external text"" href=""http:/",en,175,E-Democracy Centre
"<p>A <a class=""external text"" href=""http",en,176,Deliberative Democracy and Citizens' Juries
"<p> --<a href=""http://beyondvoting.wikia",en,177,Delegated Voting
"<a name=""Definition"" id=""Definition""></a",en,179,Pop-up Democracy
"<p><a id=""Definition"" name=""Definition"">",en,180,Cabildo Abierto
"<p><a id=""Definition"" name=""Definition"">",en,181,S
"<p><a id=""Definition"" name=""Definition"">",en,182,Deliberation day
<p>Crowdsourcing is a new phenomenon in ,en,183,Crowdsourcing
"<a name=""Definition"" id=""Definition""></a",en,184,Conversation Cafes
"<p><a id=""Definition"" name=""Definition"">",en,185,Robert's Rules of Order
<p>Washington State uses the initiative ,en,186,Washington State Initiative Process
"<a name="""" id=""""></a><h1>Definition:</h1",en,187,Kgotla (public assembly)
"<p><a id=""Definition"" name=""Definition"">",en,188,Study Circles
"<a name=""Definition"" id=""Definition""></a",en,189,European Local Democracy Week
"<p> </p> <a name=""Definition"" id=""Defini",en,190,Jury
"<p><a name=""Top"" id=""Top""></a></p>conten",en,191,Direct Democracy
<p>Blueprint for a new confederation </p,en,192,"As the People Want It, Blueprint for a new confederation"
<p>Demarchy (or lottocracy) is a form of,en,194,Demarchy
"<p>Electronic <a href=""/methods/direct-d",en,195,Electronic Direct Democracy
"<p>Welcome to the <a class=""external tex",en,196,Liquid Democracy
,en,197,Organizational Learning
,en,198,BürgerInnen-Rat
**Definition** **Problems and Purpose** ,en,387,Petition
"<h3>Definition</h3><p><a href=""http://en",en,399,ConsiderIt
<h3>Definition</h3><p> </p><h3>Problems ,en,428,Magic Roundtables
<h3>Definition</h3><p>Agora 2.0 is a gro,en,441,Agora 2.0
<h3>Definition</h3><p> </p>The Wikivote ,en,448,Wikivote 
"<p> </p><p class=""CCPHbody"">Community-ba",en,457,Community-based participatory research
,en,459,Service-learning
