body,language,organization_id,title
"<p>AmericaSpeaks is a Washington, D.C.-b",en,199,AmericaSpeaks
"<p><a id=""Purpose_and_Mission"" name=""Pur",en,200,Everyday Democracy
"<p><a id=""Vision"" name=""Vision""></a></p>",en,201,European Institute for Public Participation
<h2>Mission and Purpose </h2><p>The firm,en,202,Sopinspace
<p>MySociety.org is a project of a regis,en,203,MySociety
"<p><a id=""External_Links"" name=""External",en,204,Dick's Drive-In Restaurants
<p>The Institute on the Common Good at R,en,205,Institute on the Common Good
The Transpartisan Alliance is an informa,en,206,Transpartisan Alliance
"<h3>Mission</h3><p>The <a class=""externa",en,207,Izwe Group
"<p><a id=""Purpose_and_Mission"" name=""Pur",en,208,Citizenship DRC
<p>Shape Burlington was established in N,en,209,Shape Burlington
"<p>The mission of the <a href=""http://me",en,210,Metagovernment
"<p><a id=""Gegr.C3.BCndet"" name=""Gegr.C3.",en,211,ESWEERWE
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,212,National Coalition for Dialogue & Deliberation
<h3>Mission and Purpose</h3><p>MASS LBP',en,213,MASS LBP
"<p>In the end of the 80’s, Brazil was li",en,214,CIDADE Urban Studies and Advisory Center
"The <a href=""http://www.fspi.org.fj/"" cl",en,215,Foundation of the Peoples of the South Pacific International (FSPI)
<p><em>This page is a work in progress. ,en,216,newDemocracy Foundation
<h3>Please note the PB Unit closed on th,en,217,"Participatory Budgeting Unit, Manchester, UK"
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,218,Community Pride Unit
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,219,Change Makers
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,220,Involve
"<p><a id=""What_is_CAEC.3F"" name=""What_is",en,221,Community Audit & Evaluation Centre
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,222,GAP Unit
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,223,Hansard Society
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,224,Governance International
<p>The Deliberative Democracy Consortium,en,225,Deliberative Democracy Consortium
"<a name=""Mission_and_Purpose"" id=""Missio",en,226,Consense
"<a name=""Mission_and_Purpose"" id=""Missio",en,227,Community First
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,228,International Observatory on Participatory Democracy
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,229,European Alternatives
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,230,LogoLink
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,231,International Association for Public Participation
<h3>Mission and Purpose</h3><p>The nonpr,en,232,The Co-Intelligence Institute
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,233,Participation Works
"<a name=""Mission_and_Purpose"" id=""Missio",en,234,Citizenship Foundation
"<p><a id=""Mission"" name=""Mission""></a></",en,235,The Consultation Institute
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,236,Urban Forum
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,237,Demos
"<a name=""Mission_and_Purpose"" id=""Missio",en,238,Participation Cymru
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,239,Participatory Practitioners for Change
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,240,National Co-ordinating Centre for Public Engagement
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,241,"Centre for Civil Society, UK"
"<a name=""Mission_and_Purpose"" id=""Missio",en,242,"Centre for Civil Society, India"
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,243,"Centre for Citizenship, Globalization and Governance (C2G2)"
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,244,Together Creating Communities
"<a name=""Mission_and_Purpose"" id=""Missio",en,245,Participatory Training
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,246,Centre for Lifelong Learning and Community Engagement
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,247,Unlock Democracy
"<a name=""Mission_and_Purpose"" id=""Missio",en,248,Institute for Citizenship
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,249,London Citizens
<h3>Purpose and Mission</h3><p>There hav,en,250,Public Conversations Project
,en,251,Indiana Conflict Resolution Institute
<h2> </h2><h2>Mission and Purpose</h2><p,en,252,Healthy Democracy
<p>The Pew Center for Civic Journalism w,en,253,Pew Center for Civic Journalism
"<p><a id=""Purpose_and_Mission"" name=""Pur",en,254,By the People
"<a name=""Purpose_and_Mission"" id=""Purpos",en,255,Office of Public Engagement
<h3>Mission and Purpose</h3><p>On June 1,en,256,President Clinton's Initiative on Race
<p>The UK Youth Parliament (UKYP) is a L,en,257,UK Youth Parliament
"<p>The Panhellenic Socialist Movement, a",en,258,PASOK Political Party
<p>The Americans Discuss Social Security,en,259,Americans Discuss Social Security
"<p><a id=""Mission_and_Purpose"" name=""Mis",en,260,Jefferson Center
"<a name=""Organization"" id=""Organization""",en,261,The Common Enterprise
"<a name=""Mission_and_Purpose"" id=""Missio",en,262,The Freedom House
"<a name=""Mission_and_Purpose"" id=""Missio",en,263,Delib
<h3>Mission and Purpose</h3><p>The Keyst,en,264,The Keystone Center
"<p>Public Agenda is a nonprofit, nonpart",en,265,Public Agenda
"<p>In the global arena, the Centre for H",en,266,The Centre for Humanitarian Dialogue
